sentence_type,timestamp,lat-dd,lat-dir,lon-dd,lon-dir,satellites_in_view,satellites_in_use,knots,mph,kph,course,altitude,fix_stat,fix_type,fix_time
GPRMC,20210803T191306.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.07, 0.08057001, 0.12964],188.84,234.4,1,1,127333
GPGGA,20210803T191307.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.07, 0.08057001, 0.12964],188.84,234.4,1,1,127710
GPRMC,20210803T191307.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.18, 0.20718, 0.33336],174.76,234.4,1,1,127842
GPGGA,20210803T191307.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.18, 0.20718, 0.33336],174.76,234.4,1,1,128211
GPRMC,20210803T191307.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.15, 0.17265, 0.2778],166.49,234.4,1,1,128339
GPGGA,20210803T191308.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.15, 0.17265, 0.2778],166.49,234.4,1,1,128713
GPRMC,20210803T191308.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.14, 0.16114, 0.25928],173.04,234.4,1,1,128840
GPGGA,20210803T191308.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.14, 0.16114, 0.25928],173.04,234.4,1,1,129213
GPRMC,20210803T191308.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.12, 0.13812, 0.22224],201.1,234.4,1,1,129340
GPGGA,20210803T191309.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.12, 0.13812, 0.22224],201.1,234.4,1,1,129710
GPRMC,20210803T191309.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.11, 0.12661, 0.20372],228.21,234.4,1,1,129838
GPGGA,20210803T191309.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.11, 0.12661, 0.20372],228.21,234.4,1,1,130210
GPRMC,20210803T191309.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.19, 0.21869, 0.35188],237.58,234.4,1,1,130338
GPGGA,20210803T191310.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.19, 0.21869, 0.35188],237.58,234.4,1,1,130709
GPRMC,20210803T191310.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.28, 0.32228, 0.51856],235.1,234.4,1,1,130837
GPGGA,20210803T191310.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.28, 0.32228, 0.51856],235.1,234.4,1,1,131219
GPRMC,20210803T191310.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.26, 0.29926, 0.48152],239.45,234.4,1,1,131346
GPGGA,20210803T191311.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.26, 0.29926, 0.48152],239.45,234.4,1,1,131722
GPRMC,20210803T191311.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.29, 0.33379, 0.53708],240.96,234.4,1,1,131851
GPGGA,20210803T191311.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.29, 0.33379, 0.53708],240.96,234.4,1,1,132220
GPRMC,20210803T191311.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.19, 0.21869, 0.35188],259.81,234.4,1,1,132347
GPGGA,20210803T191312.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.19, 0.21869, 0.35188],259.81,234.4,1,1,132720
GPRMC,20210803T191312.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.17, 0.19567, 0.31484],297.88,234.4,1,1,132847
GPGGA,20210803T191312.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.17, 0.19567, 0.31484],297.88,234.4,1,1,133219
